Cód. Artículo,Referencia,Centro Costos 1,Centro Costos 2,Centro Costos 3,Centro Costos 4,Centro Costos 5
76001,ALAMBRE COSEDORA #24 C0.56 MM,11212317001,,,,
76019,"CARRETA 1/2 (12,7MM) 3:1 24 LOOPS",11212417001,,,,
72003,CINTA DOBLE FAZ 12 MM,11212517001,,,,
72002,CINTA DOBLE FAZ 24 MM,11212517001,,,,
75018,PEGANTE ARTECOL PVA 4543 *20K,11212217001,,,,
75004,PEGANTE ARTEMELT 3180,11212317001,,,,
75019,PEGANTE EUKALIN 6455 VL-50 * 32K,11212517001,,,,
75012,PEGANTE TIPOL 1204 * 20K,11212517001,,,,
38016,PET CAL 5 LAMINA 100X70,11212517001,,,,
63201,ESPONJA VISCOBITA,11212417001,11212317001,11212517001,11212217001,
82011,TETERO,11212517001,,,,
112804,BANDA DE CAUCHO BOLSA,11212517001,,,,
71001,"BOLSA PLASTICA C.05 12""X16""",11211217001,,,,
2071010,"BOLSA POLIPROPILENO 6*10 CAL 1,5",11212317001,,,,
2071011,"BOLSA POLIPROPILENO 8*12 CAL 1,5",11212317001,,,,
2071012,"BOLSA POLIPROPILENO 9,5*12 CAL 1,5",11212317001,,,,
2071006,BOLSA TRANSP 16*30 C-2,11212317001,,,,
2071015,BOLSA TRANSP 60*80,11212417001,,,,
73106,CAJA 51.5*36.5*31 C-620 SIN LOGO,11212317001,11212517001,,,
73002,CAJA GRANDE C.450 .LA PATRIA (41),11212317001,11212517001,,,
73105,CAJA GRANDE PLEGAPACK #2 51.5 (301),11212317001,11212517001,,,
73003,CAJA PAT MED 365*265*325 C540 (291),11212317001,11212517001,,,
73113,CAJA PATRIA 370*260*260 C790 (361),11212317001,11212517001,,,
73114,CAJA PATRIA 430*290*200 C790 (381),11212317001,11212517001,,,
73112,CAJA PLEG #2 52*37.5*26.5 C620 (321),11212317001,11212517001,,,
72312,CINTA TRANSPARENTE 48X100 M,11212317001,11212517001,,,
74151,FIBRA POLIPROPILENO 12-1,11212117001,11212417001,,,
74101,GRAPA PLASTICA,11212117001,11212417001,11212517001,,
71011,PELICULA STRECH 15X15X450,11212117001,11212417001,11212517001,,
