IEMP,FSOPORT,ITDSOP,INUMSOP,INVENTARIO,IRECURSO,ICCSUBCC,ILABOR,QCANTLUN,QCANTMAR,QCANTMIE,QCANTJUE,QCANTVIE,QCANTSAB,QCANTDOM,SOBSERVAC
1,05/05/2025,160,,1,72312,107: MATERIAL DE EMPAQUE,,1.00,,,,,,,
1,05/05/2025,160,,1,54003,104: TINTAS,PERIODICOS,1.31,,,,,,,368
1,05/05/2025,160,,1,62027,105: MATERIAL PREPRENSA,,128.00,,,,,,,Saldo planchas CTP 30/04/2025
1,05/05/2025,160,,1,62028,105:MATERIAL PREPRENSA,,53.00,,,,,,,Saldo planchas CTP 30/04/2025
1,05/05/2025,160,,1,62031,105: MATERIAL PREPRENSA,,40.00,,,,,,,Saldo planchas CTP 30/04/2025
1,05/05/2025,160,,1,62032,105: MATERIAL PREPRENSA,,137.00,,,,,,,Saldo planchas CTP 30/04/2025
1,05/05/2025,160,,1,54053,104: TINTAS,PERIODICOS,1.22,,,,,,,368
1,05/05/2025,160,,1,62027,105: MATERIAL PREPRENSA,,200.00,,,,,,,02/05/2025
1,05/05/2025,160,,1,62031,105: MATERIAL PREPRENSA,,300.00,,,,,,,02/05/2025
1,05/05/2025,160,,1,62028,105:MATERIAL PREPRENSA,,100.00,,,,,,,02/05/2025
1,05/05/2025,160,,1,54103,104: TINTAS,PERIODICOS,1.22,,,,,,,368
1,08/05/2025,160,,1,2071011,107: MATERIAL DE EMPAQUE,,6000.00,,,,,,,11212317001-REVISTA
1,05/05/2025,160,,1,54203,104: TINTAS,PERIODICOS,1.57,,,,,,,368
1,08/05/2025,160,,1,72312,107: MATERIAL DE EMPAQUE,,10.00,,,,,,,11212317001-REVISTA
1,05/05/2025,160,,1,54003,104: TINTAS,,0.19,,,,,,,370
1,08/05/2025,160,,1,72312,107: MATERIAL DE EMPAQUE,,10.00,,,,,,,11212317001-REVISTA
1,05/05/2025,160,,1,54053,104: TINTAS,,0.18,,,,,,,370
1,08/05/2025,160,,1,73113,107: MATERIAL DE EMPAQUE,,480.00,,,,,,,11212317001-REVISTA
